name,color,price,preSalePrice,link
Maxed Out Tank,Tropic Green,30.0,,https://us.shop.gymshark.com/products/gymshark-maxed-out-tank-tropic-green-ss23
Crossover Shorts,Pomegranate Red,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-shorts-pomegranate-red-ss23
Maxed Out Oversized T-Shirt,Light Grey Marl,36.0,,https://us.shop.gymshark.com/products/gymshark-maxed-out-oversized-t-shirt-light-grey-marl-ss23
Maxed Out Tank,White,30.0,,https://us.shop.gymshark.com/products/gymshark-maxed-out-tank-white-ss23
Maxed Out Hoodie,Light Grey Marl,50.0,,https://us.shop.gymshark.com/products/gymshark-maxed-out-hoodie-light-grey-marl-ss23
Woven Pocket Shorts,Sundried Red,38.0,,https://us.shop.gymshark.com/products/gymshark-woven-pocket-shorts-sundried-red-ss23
Pocket Leggings,Dusty Olive,50.0,,https://us.shop.gymshark.com/products/gymshark-pocket-leggings-dusty-olive-ss23
Running 1/4 Zip,Magenta Brown,56.0,,https://us.shop.gymshark.com/products/gymshark-running-1-4-zip-magenta-brown-ss23
Pocket Shorts,Dusty Olive,40.0,,https://us.shop.gymshark.com/products/gymshark-pocket-shorts-dusty-olive-ss23
Running 2 In 1 Shorts,Electric Blue/Luna Blue,48.0,,https://us.shop.gymshark.com/products/gymshark-running-2-in-1-shorts-electric-blue-luna-blue-ss23
Strappy Crop Cami Tank,Black,36.0,,https://us.shop.gymshark.com/products/gymshark-strappy-crop-cami-tank-black-ss23
Strappy Crop Cami Tank,Bright Fuchsia,36.0,,https://us.shop.gymshark.com/products/gymshark-strappy-crop-cami-tank-bright-fuchsia-ss23
Pocket Leggings,Chocolate Brown,50.0,,https://us.shop.gymshark.com/products/gymshark-pocket-leggings-chocolate-brown-ss23
Rest Day Seamless Midi Tank,Earthy Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-midi-tank-earthy-brown-ss23
Crossover Long Sleeve Crop Top,Slate Lavender,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-long-sleeve-crop-top-slate-lavender-ss23
Strappy Crop Cami Tank,Pomegranate Red,36.0,,https://us.shop.gymshark.com/products/gymshark-strappy-crop-cami-tank-pomegranate-red-ss23
Crossover Long Sleeve Crop Top,Mist Green,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-long-sleeve-crop-top-mist-green-ss23
Running 1/4 Zip,Black,56.0,,https://us.shop.gymshark.com/products/gymshark-running-1-4-zip-black-ss23
Crossover Leggings,Thunder Blue,50.0,,https://us.shop.gymshark.com/products/gymshark-crossover-leggings-thunder-blue-ss23
Strappy Crop Cami Tank,Iced Lilac,36.0,,https://us.shop.gymshark.com/products/gymshark-strappy-crop-cami-tank-iced-lilac-ss23
Crossover Shorts,Iceberg Blue,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-shorts-iceberg-blue-ss23
Rest Day Seamless Bralette,Pomegranate Red,38.0,,https://us.shop.gymshark.com/products/gymshark-rest-day-seamless-bralette-pomegranate-red-ss23
Pocket Shorts,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-pocket-shorts-black-ss23
Pocket Shorts,Denim Blue,40.0,,https://us.shop.gymshark.com/products/gymshark-pocket-shorts-denim-blue-ss23
Crossover Leggings,Slate Lavender,50.0,,https://us.shop.gymshark.com/products/gymshark-crossover-leggings-slate-lavender-ss23
Crossover Long Sleeve Crop Top,Iceberg Blue,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-long-sleeve-crop-top-iceberg-blue-ss23
Longline Sports Bra,Navy,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-navy-ss23
Adapt Camo Seamless Sports Bra,Lava | River Stone Grey/Evening Blue,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-sports-bra-river-stone-grey-evening-blue-ss23
Adapt Camo Seamless Sports Bra,Lava | Black/Onyx Grey,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-sports-bra-black-onyx-grey-ss23
Adapt Camo Seamless Shorts,Lava | Stone Grey/Evening Blue,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-shorts-stone-grey-evening-blue-ss23
Adapt Camo Tank,Lava | River Stone Grey/Evening Blue,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-tank-lava-river-stone-grey-evening-blue-ss23
Adapt Camo Tank,Lava | Black/Onyx Grey,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-tank-lava-black-onyx-grey-ss23
Adapt Camo Seamless Long Sleeve Top,Lava | Black,46.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-long-sleeve-top-black-ss23
Adapt Camo Seamless Shorts,Lava | Misty Pink/Hazy Pink,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-shorts-misty-pink-hazy-pink-ss23
Adapt Camo Tank,Lava | Misty Pink/Hazy Pink,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-tank-lava-misty-pink-hazy-pink-ss23
Adapt Camo Seamless Leggings,Lava | River Stone Grey/Evening Blue,64.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-leggings-river-stone-grey-evening-blue-ss23
Adapt Camo Seamless Sports Bra,Lava | Misty Pink-Hazy Pink,48.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-sports-bra-misty-pink-hazy-pink-ss23
Adapt Camo Seamless Lace Up Back Top,Lava |  River Stone Grey/Evening Blue,50.0,,https://us.shop.gymshark.com/products/gymshark-adapt-camo-seamless-lace-up-back-top-river-stone-grey-evening-blue-ss23
Elevate Top,Black,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-top-black-ss23
Crossover Sports Bra,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-black-ss23
Longline Sports Bra,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-black-ss23
Crossover Sports Bra,White,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-sports-bra-white-ss23
Embroidered Graphic Cropped Hoodie,White,44.0,,https://us.shop.gymshark.com/products/gymshark-embroidered-graphic-cropped-hoodie-white-ss23
Embroidered Graphic Midi T-Shirt,River Stone Grey,32.0,,https://us.shop.gymshark.com/products/gymshark-embroidered-graphic-midi-t-shirt-river-stone-grey-ss23
Longline Sports Bra,White,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-white-ss23
Longline Sports Bra,Iceberg Blue,40.0,,https://us.shop.gymshark.com/products/gymshark-longline-sports-bra-iceberg-blue-ss23
Elevate Longline Sports Bra,Sandy Brown,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-longline-sports-bra-sandy-brown-ss23
Elevate Cycling Shorts,Sandy Brown,48.0,,https://us.shop.gymshark.com/products/gymshark-elevate-cycling-shorts-sandy-brown-ss23
Embroidered Graphic Midi T-Shirt,White,32.0,,https://us.shop.gymshark.com/products/gymshark-embroidered-graphic-midi-t-shirt-white-ss23
Elevate Top,Desert Sage Green,44.0,,https://us.shop.gymshark.com/products/gymshark-elevate-top-desert-sage-green-ss23
Embroidered Graphic Cropped Hoodie,River Stone Grey,44.0,,https://us.shop.gymshark.com/products/gymshark-embroidered-graphic-cropped-hoodie-grey-ss23
Elevate Leggings,Brushed Brown,64.0,,https://us.shop.gymshark.com/products/gymshark-elevate-leggings-brushed-brown-ss23
