name,color,price,preSalePrice,link
Bucket Hat,White,32.0,,https://us.shop.gymshark.com/products/gymshark-bucket-hat-white-ss23
Bucket Hat,Firefly Green,32.0,,https://us.shop.gymshark.com/products/gymshark-bucket-hat-firefly-green-ss23
Legacy Crew Socks 2pk,Iceberg Blue/White,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-crew-socks-2pk-iceberg-blue-white-ss23
Legacy Crew Socks 2pk,White,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-crew-socks-2pk-white-ss23
Bold Gym Bag,Dusty Olive,68.0,,https://us.shop.gymshark.com/products/gymshark-bold-holdall-dusty-olive-ss23
Ankle Socks 3pk,Blue/Jewel Green/Pebble Grey,14.0,,https://us.shop.gymshark.com/products/gymshark-trainer-socks-3pk-blue-jewel-green-pebble-grey-ss23
X-Series 0.3 Backpack,Persimmon Red,64.0,,https://us.shop.gymshark.com/products/gymshark-xseries-0-3-backpack-persimmon-red-ss23
X-Series Wash Bag,Persimmon Red,24.0,,https://us.shop.gymshark.com/products/gymshark-xseries-wash-bag-persimmon-red-ss23
Legacy Cap,Iceberg Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-cap-iceberg-blue-ss23
Mesh Trucker,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-mesh-trucker-black-ss23
Premium Crew Sock 1pk,White/Black,12.0,,https://us.shop.gymshark.com/products/gymshark-premium-crew-sock-1pk-white-black-ss23
Large Everyday Gym Bag ,Black,62.0,,https://us.shop.gymshark.com/products/gymshark-large-everyday-holdall-black-ss23
Large Everyday Gym Bag,Dusty Maroon,62.0,,https://us.shop.gymshark.com/products/gymshark-large-everyday-holdall-dusty-maroon-ss23
Reversible Bucket Hat,Pebble Grey,30.0,,https://us.shop.gymshark.com/products/gymshark-reversible-bucket-hat-pebble-grey-ss23
Reversible Bucket Hat,White/Orange/Peach,30.0,,https://us.shop.gymshark.com/products/gymshark-reversible-bucket-hat-white-orange-peach-ss23
Handwriting Sock,Firefly Green/White,12.0,,https://us.shop.gymshark.com/products/gymshark-handwriting-sock-firefly-green-white-ss23
Insulated Straw Cup,River Stone Grey/Evening Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-iced-coffee-mug-river-stone-grey-evening-blue-ss23
Insulated Straw Cup,Misty Pink/Terracotta Pink,26.0,,https://us.shop.gymshark.com/products/gymshark-iced-coffee-mug-misty-pink-terracotta-pink-ss23
Handwriting Baseball Cap,White/Firefly Green,26.0,,https://us.shop.gymshark.com/products/gymshark-handwriting-baseball-cap-white-firefly-green-ss23
