name,color,price,preSalePrice,link,category,discountPercentage,productType
Crest Joggers,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-crest-joggers-black-ss22,Men,,Joggers
"Arrival 5"" Shorts",Silhouette Grey,26.0,,https://us.shop.gymshark.com/products/gymshark-arrival-5-shorts-silhouette-grey-aw22,Men,,Shorts
Bold T-Shirt,Black,26.0,,https://us.shop.gymshark.com/products/gymshark-bold-t-shirt-black-aw21,Men,,T-shirt
Sport Shorts,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-sport-shorts-black-aw22,Men,,Shorts
Essential T-Shirt,Black,20.8,26.0,https://us.shop.gymshark.com/products/gymshark-essential-ss-slim-tee-black-ss22,Men,20.0,T-shirt
Critical 2.0 Drop Arm Tank,White,22.4,28.0,https://us.shop.gymshark.com/products/gymshark-critical-drop-arm-tank-white-aw21,Men,20.000000000000004,Tank
"Arrival 5"" Shorts",Core Olive,26.0,,https://us.shop.gymshark.com/products/gymshark-arrival-5-shorts-core-olive-ss22,Men,,Shorts
Legacy Drop Arm Tank,Ecru Brown,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-ecru-brown-ss23,Men,,Tank
"Arrival 5"" Shorts",Bright Fuchsia,26.0,,https://us.shop.gymshark.com/products/gymshark-arrival-5-shorts-bright-fuchsia-ss23,Men,,Shorts
Vital 1/4 Zip,Cherry Brown/Black,44.0,,https://us.shop.gymshark.com/products/gymshark-vital-light-1-4-zip-cherry-brown-black-aw22,Men,,Zip
Essential Oversized T-Shirt,Black,26.0,,https://us.shop.gymshark.com/products/gymshark-oversized-t-shirt-black-aw21,Men,,T-shirt
"Arrival 7"" Shorts",Ozone Blue,26.0,,https://us.shop.gymshark.com/products/gymshark-arrival-7-shorts-ozone-blue-ss23,Men,,Shorts
Crest Joggers,Truffle Brown,38.0,,https://us.shop.gymshark.com/products/gymshark-crest-joggers-truffle-brown-ss23,Men,,Joggers
Power Washed T-Shirt,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-t-shirt-black-aw22,Men,,T-shirt
Legacy Drop Arm Tank,Black,24.0,,https://us.shop.gymshark.com/products/gymshark-legacy-drop-arm-tank-black-ss23,Men,,Tank
Crest Shorts,Black,24.0,,https://us.shop.gymshark.com/products/gymshark-crest-shorts-black-ss22,Men,,Shorts
Crest Hoodie,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-crest-hoodie-black-ss22,Men,,Hoodie
"Sport 5"" 2 In 1 Shorts",Onyx Grey/Black,42.0,,https://us.shop.gymshark.com/products/gymshark-sport-5-2-in-1-shorts-onyx-grey-black-print-ss23,Men,,Shorts
Crest Sweatshirt,Black,36.0,,https://us.shop.gymshark.com/products/gymshark-crest-sweatshirt-black-ss22,Men,,Sweatshirt
"Arrival 7"" Shorts",Silhouette Grey,26.0,,https://us.shop.gymshark.com/products/gymshark-arrival-7-shorts-silhouette-grey-aw22,Men,,Shorts
"Power Washed 5"" Shorts",Ecru Brown,42.0,,https://us.shop.gymshark.com/products/gymshark-power-washed-5-shorts-ecru-brown-ss23,Men,,Shorts
Arrival Marl T-Shirt,Silhouette Grey/Light Grey Marl,22.0,,https://us.shop.gymshark.com/products/gymshark-arrival-marl-t-shirt-silhouette-grey-light-grey-marl-aw22,Men,,T-shirt
Crest T-Shirt,Truffle Brown,22.0,,https://us.shop.gymshark.com/products/gymshark-crest-t-shirt-truffle-brown-ss23,Men,,T-shirt
Legacy Henley Top,Black,36.0,,https://us.shop.gymshark.com/products/gymshark-legacy-henley-top-black-ss23,Men,,Top
Legacy T-Shirt,White,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-t-shirt-white-ss23,Men,,T-shirt
Essential T-Shirt,White,20.8,26.0,https://us.shop.gymshark.com/products/gymshark-essential-ss-slim-tee-white-ss22,Men,20.0,T-shirt
Legacy T-Shirt,Light Grey Marl,26.0,,https://us.shop.gymshark.com/products/gymshark-legacy-t-shirt-light-grey-marl-ss23,Men,,T-shirt
Arrival Woven Joggers,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-arrival-woven-joggers-black-ss22,Men,,Joggers
Power T-Shirt,Ecru Brown,36.0,,https://us.shop.gymshark.com/products/gymshark-power-t-shirt-ecru-brown-ss23,Men,,T-shirt
