,Name,Color,Price,Pre Sale Price,Link
44,Woven Pocket Shorts,Dusty Olive,38.0,,https://us.shop.gymshark.com/products/gymshark-woven-pocket-shorts-dusty-olive-ss23
45,Running 2 In 1 Shorts,Iris Green/Light Olive Green,48.0,,https://us.shop.gymshark.com/products/gymshark-running-2-in-1-shorts-iris-green-light-olive-green-ss23
46,Crossover Long Sleeve Crop Top,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-long-sleeve-crop-top-black-ss23
47,Running Leggings,Black,58.0,,https://us.shop.gymshark.com/products/gymshark-running-leggings-black-ss23
48,Running Leggings,Magenta Brown,58.0,,https://us.shop.gymshark.com/products/gymshark-running-leggings-magenta-brown-ss23
49,Woven Pocket Shorts,Black,38.0,,https://us.shop.gymshark.com/products/gymshark-woven-pocket-shorts-black-ss23
50,Running Leggings,Titanium Grey,58.0,,https://us.shop.gymshark.com/products/gymshark-running-leggings-titanium-grey-ss23
51,Pocket Leggings,Ink Teal,50.0,,https://us.shop.gymshark.com/products/gymshark-pocket-leggings-ink-teal-ss23
52,Pocket Leggings,Black,50.0,,https://us.shop.gymshark.com/products/gymshark-pocket-leggings-black-ss23
53,Pocket Shorts,Chocolate Brown,40.0,,https://us.shop.gymshark.com/products/gymshark-pocket-shorts-chocolate-brown-ss23
54,Woven Pocket Shorts,Chocolate Brown,38.0,,https://us.shop.gymshark.com/products/gymshark-woven-pocket-shorts-chocolate-brown-ss23
55,Crossover Shorts,Black,40.0,,https://us.shop.gymshark.com/products/gymshark-crossover-shorts-black-ss23
56,Running 2 In 1 Shorts,Black/Silhouette Grey,48.0,,https://us.shop.gymshark.com/products/gymshark-running-2-in-1-shorts-black-silhouette-grey-ss23
57,Running 2 In 1 Shorts,Fluo Bold Pink/Magenta Brown,48.0,,https://us.shop.gymshark.com/products/gymshark-running-2-in-1-shorts-fluo-bold-pink-magenta-brown-ss23
58,Maxed Out Tank,Black,30.0,,https://us.shop.gymshark.com/products/gymshark-maxed-out-tank-black-ss23
59,Maxed Out Tank,Tropic Green,30.0,,https://us.shop.gymshark.com/products/gymshark-maxed-out-tank-tropic-green-ss23
